Brand,Year,Model,UsedOrNew,Transmission,Kilometres,Price,State,Litres
BMW,2017,218I,USED,Automatic,44286,26800,NSW,1.5
Hyundai,2017,Tucson,USED,Automatic,116134,28880,NSW,2.0
Nissan,2007,Patrol,USED,Manual,165374,32950,NSW,3.0
Hyundai,2020,I30,USED,Automatic,40178,26300,NSW,2.0
Honda,2010,Accord,USED,Automatic,191701,10499,NSW,2.4
Mitsubishi,2019,ASX,USED,Automatic,43534,25990,NSW,2.0
Nissan,2015,Qashqai,USED,Automatic,77936,23990,NSW,2.0
Toyota,2015,Landcruiser,USED,Manual,217658,56913,NSW,4.5
Volkswagen,2015,Passat,USED,Automatic,49801,26990,NSW,1.8
Subaru,2013,Forester,USED,Automatic,121608,16950,NSW,2.5
Renault,2014,Megane,USED,Automatic,112133,13999,NSW,1.2
Renault,2018,Trafic,USED,Manual,153438,31950,NSW,1.6
Toyota,2013,Hilux,USED,Manual,215189,13995,NSW,2.7
Holden,2016,Cruze,USED,Manual,139558,12990,NSW,1.6
Volkswagen,2016,Crafter,USED,Manual,265837,25995,NSW,2.0
Hyundai,2010,I30,USED,Automatic,186939,10995,NSW,2.0
Kia,2015,Cerato,USED,Automatic,103354,15888,NSW,1.8
Toyota,2012,Tarago,USED,Automatic,115000,22999,NSW,2.4
Toyota,2017,Camry,USED,Automatic,97480,23999,NSW,2.5
Toyota,2018,Corolla,USED,Automatic,82020,29888,NSW,2.0
Honda,2020,HR-V,USED,Automatic,29007,34990,NSW,1.8
Kia,2017,Sportage,USED,Automatic,115759,24990,NSW,2.0
Toyota,2006,Camry,USED,Automatic,260901,6990,NSW,2.4
Hyundai,2018,Iload,USED,Automatic,57505,35995,NSW,2.5
Subaru,2009,Impreza,USED,Manual,153891,16420,NSW,2.5
Holden,2005,Rodeo,USED,Manual,169587,9913,NSW,3.5
BMW,2013,320D,USED,Automatic,170658,17890,NSW,2.0
Toyota,2015,RAV4,USED,Automatic,119342,21888,NSW,2.0
Volkswagen,2016,Amarok,USED,Automatic,132194,41950,NSW,3.0
Holden,2017,Astra,USED,Automatic,128928,15984,NSW,1.6
Toyota,2010,Kluger,USED,Automatic,269287,13995,NSW,3.5
Toyota,2019,Corolla,USED,Automatic,60906,35990,NSW,1.8
Nissan,2015,X-Trail,USED,Automatic,188702,14900,NSW,2.5
BMW,2017,X1,USED,Automatic,41275,34880,NSW,2.0
Mazda,2008,6,USED,Automatic,196135,8950,NSW,2.5
Ford,2017,Ranger,USED,Automatic,196114,36990,NSW,3.2
Hyundai,2009,Imax,USED,Automatic,152352,19990,NSW,2.4
Toyota,2013,RAV4,USED,Automatic,165245,16995,NSW,2.2
Toyota,2012,Kluger,USED,Automatic,101222,23990,NSW,3.5
Holden,2018,Colorado,USED,Automatic,164863,23888,NSW,2.8
Toyota,2016,Corolla,USED,Automatic,74113,24950,NSW,1.8
Holden,2012,Captiva,USED,Automatic,121948,8999,NSW,3.0
Mercedes-Benz,2009,C200,USED,Automatic,73989,13913,NSW,1.8
Skoda,2010,Octavia,USED,Automatic,81608,11880,NSW,2.0
Lexus,2019,UX200,USED,Automatic,5159,43990,NSW,2.0
Hyundai,2009,Imax,USED,Automatic,240239,15990,NSW,2.4
Hyundai,2019,Tucson,USED,Automatic,104066,26990,NSW,2.0
Toyota,2009,RAV4,USED,Automatic,179643,12990,NSW,2.4
Kia,2020,RIO,USED,Automatic,67712,21800,NSW,1.4
Skoda,2019,Rapid,USED,Automatic,19768,23990,NSW,1.4
Nissan,2018,Navara,USED,Manual,62782,41990,NSW,2.3
Toyota,2017,Hilux,USED,Automatic,162384,37888,NSW,2.8
Jaguar,2011,XF,USED,Automatic,133360,23950,NSW,3.0
Mitsubishi,2017,ASX,USED,Automatic,89044,20995,NSW,2.0
Kia,2021,Picanto,USED,Automatic,4758,20444,NSW,1.2
Toyota,2015,RAV4,USED,Automatic,130569,23400,NSW,2.0
Honda,2017,Civic,USED,Manual,88363,49880,NSW,2.0
Toyota,2007,RAV4,USED,Manual,192415,10999,NSW,2.4
Isuzu,2013,D-MAX,USED,Manual,223907,14913,NSW,3.0
Ford,2012,Territory,USED,Automatic,157563,16999,NSW,2.7
Isuzu,2016,D-MAX,USED,Automatic,310215,21990,NSW,3.0
Mazda,2016,3,USED,Manual,209628,13995,NSW,2.0
Kia,2018,Carnival,USED,Automatic,76027,41999,NSW,3.3
Kia,2011,Cerato,USED,Automatic,97125,11990,NSW,2.0
Mazda,2019,3,USED,Manual,55677,24888,NSW,2.0
Toyota,2009,Camry,USED,Automatic,134916,9990,NSW,2.4
Ford,2016,Focus,USED,Manual,117686,26888,NSW,2.0
Holden,2015,Trax,USED,Automatic,146059,11995,NSW,1.4
Nissan,2018,X-Trail,USED,Automatic,98754,24888,NSW,2.5
Holden,2014,Commodore,USED,Automatic,207234,19995,NSW,3.6
MG,2023,ZST,NEW,Automatic,15,27690,NSW,1.5
Holden,2010,Calais,USED,Automatic,176052,18999,NSW,6.0
Fiat,2015,500,USED,Manual,79452,9800,NSW,1.2
Mazda,2012,2,USED,Automatic,139976,12990,NSW,1.5
Volkswagen,2015,Golf,USED,Automatic,98900,26888,NSW,2.0
Mercedes-Benz,2016,GLA250,USED,Automatic,99459,34950,NSW,2.0
Haval,2020,H9,USED,Automatic,34291,37990,NSW,2.0
Mazda,2017,CX-5,USED,Automatic,37811,39990,NSW,2.5
Holden,2012,Commodore,USED,Automatic,181747,11800,NSW,3.0
Ford,2020,Ranger,USED,Automatic,79801,46990,NSW,2.2
Hyundai,2017,Iload,USED,Automatic,91989,34990,NSW,2.5
Hyundai,2013,I30,USED,Automatic,107647,16880,NSW,1.8
Hyundai,2018,I30,USED,Automatic,86144,21990,NSW,2.0
Volvo,2013,V60,USED,Automatic,120720,16880,NSW,1.6
Mazda,2015,6,USED,Automatic,201306,12999,NSW,2.5
Kia,2022,Stonic,USED,Automatic,12412,24990,NSW,1.4
Lexus,2019,RX300,USED,Automatic,41988,52888,NSW,2.0
Subaru,2015,XV,USED,Automatic,117106,21488,NSW,2.0
Volkswagen,2014,Tiguan,USED,Automatic,85601,17999,NSW,1.4
Hyundai,2017,Accent,USED,Automatic,153986,16995,NSW,1.6
Toyota,2015,Camry,USED,Automatic,70759,24990,NSW,2.5
Toyota,2012,Landcruiser,USED,Automatic,189152,39950,NSW,3.0
Mazda,2015,3,USED,Automatic,197191,12999,NSW,2.0
Mitsubishi,2018,Pajero,USED,Automatic,72640,41990,NSW,2.4
